NAME_1,NAME_2,lon,lat,F.dap,F,FDATE,FMCD,FACD,FDEP,FAMN,FAMP,FAMK,FAMC,FAMO,FOCD,FERNAME,q25,q50,q75
Kisumu,Seme,34.475,-0.225,42,2,NA,FE006,AP004,5,53,64,0,-99,-99,-99,3rd fert. 2nd application,71,73,74
Kisumu,Seme,34.525,-0.225,0,1,NA,FE006,AP004,5,48,30,0,-99,-99,-99,1st fert. 1st application,63,66,72
Kisumu,Seme,34.525,-0.225,42,2,NA,FE006,AP004,5,29,18,0,-99,-99,-99,1st fert. 2nd application,63,66,72
Kisumu,Seme,34.525,-0.225,0,1,NA,FE006,AP004,5,38,24,0,-99,-99,-99,2nd fert. 1st application,63,66,72
Kisumu,Seme,34.525,-0.225,42,2,NA,FE006,AP004,5,38,24,0,-99,-99,-99,2nd fert. 2nd application,63,66,72
Kisumu,Seme,34.525,-0.225,0,1,NA,FE006,AP004,5,29,18,0,-99,-99,-99,3rd fert. 1st application,63,66,72
Kisumu,Seme,34.525,-0.225,42,2,NA,FE006,AP004,5,48,30,0,-99,-99,-99,3rd fert. 2nd application,63,66,72
Kisumu,Seme,34.575,-0.225,0,1,NA,FE006,AP004,5,73,48,0,-99,-99,-99,1st fert. 1st application,74,78,79
Kisumu,Seme,34.575,-0.225,42,2,NA,FE006,AP004,5,44,29,0,-99,-99,-99,1st fert. 2nd application,74,78,79
Kisumu,Seme,34.575,-0.225,0,1,NA,FE006,AP004,5,58,39,0,-99,-99,-99,2nd fert. 1st application,74,78,79
Kisumu,Seme,34.575,-0.225,42,2,NA,FE006,AP004,5,58,39,0,-99,-99,-99,2nd fert. 2nd application,74,78,79
Kisumu,Seme,34.575,-0.225,0,1,NA,FE006,AP004,5,44,29,0,-99,-99,-99,3rd fert. 1st application,74,78,79
Kisumu,Seme,34.575,-0.225,42,2,NA,FE006,AP004,5,73,48,0,-99,-99,-99,3rd fert. 2nd application,74,78,79
Kisumu,Nyando,34.625,-0.225,0,1,NA,FE006,AP004,5,48,51,0,-99,-99,-99,1st fert. 1st application,60,70,76
Kisumu,Nyando,34.625,-0.225,42,2,NA,FE006,AP004,5,29,30,0,-99,-99,-99,1st fert. 2nd application,60,70,76
Kisumu,Nyando,34.625,-0.225,0,1,NA,FE006,AP004,5,38,40,0,-99,-99,-99,2nd fert. 1st application,60,70,76
Kisumu,Nyando,34.625,-0.225,42,2,NA,FE006,AP004,5,38,40,0,-99,-99,-99,2nd fert. 2nd application,60,70,76
Kisumu,Nyando,34.625,-0.225,0,1,NA,FE006,AP004,5,29,30,0,-99,-99,-99,3rd fert. 1st application,60,70,76
Kisumu,Nyando,34.625,-0.225,42,2,NA,FE006,AP004,5,48,51,0,-99,-99,-99,3rd fert. 2nd application,60,70,76
Kisumu,Nyando,34.675,-0.225,0,1,NA,FE006,AP004,5,59,55,0,-99,-99,-99,1st fert. 1st application,64,66,75
Kisumu,Nyando,34.675,-0.225,42,2,NA,FE006,AP004,5,35,33,0,-99,-99,-99,1st fert. 2nd application,64,66,75
Kisumu,Nyando,34.675,-0.225,0,1,NA,FE006,AP004,5,47,44,0,-99,-99,-99,2nd fert. 1st application,64,66,75
